,P: 0.6,P: 0.7,P: 0.8
0,7.755060282200973,8.314746475318247,8.183132045777663
1,8.057234938011701,8.391357822569026,8.150886294508148
2,7.899728457160535,8.27528722160104,8.309689202089707
3,7.886626366037698,8.217789353380162,8.112932357878277
4,7.995879425535858,8.009745190388298,7.990661537828629
5,7.834748533989427,8.31412183890368,8.387073116482716
6,7.727226692875576,8.3332222751765,8.004899824375212
7,7.881352191555958,8.097213250949823,8.211591517661505
8,7.571061617531061,8.263654863531293,8.255737514058438
9,7.468227842637541,8.38085787145898,8.203481946909621
10,7.838855802509771,8.134804756825547,8.223211316815927
11,7.989645191505858,8.323669120114289,8.296783399973084
12,7.966794792530424,8.325596755600158,8.01776899037469
13,7.885893414182372,8.251311748923309,8.21005643113032
14,7.972259098016797,8.242598438510948,8.22658684744721
15,7.642212335029061,8.329199578884827,8.073699059810531
16,7.848699598294949,7.852302995226751,8.4558176627398
17,7.765653895142573,8.23741314886031,8.316067948218471
18,7.967799974500988,8.045251685700213,8.181608560756278
19,8.0356836219843,8.123276147007067,8.132309818785343
20,7.876923050457059,8.244294635623847,8.280483028380056
21,7.796201937626294,8.018493747448087,7.9825870389848435
22,7.647022395155635,8.296384412398746,7.940975348883194
23,7.945767945521316,8.154543290060365,8.223197899130076
24,7.883370964940975,8.317644088955657,8.184053396039673
25,7.782786420604989,8.307545657769797,8.166741698711375
26,7.892209204922766,8.091382508642642,7.882446985730769
27,7.930134261650657,8.159017121351237,8.307027561392285
28,8.047061553977802,8.219150970814317,8.210137999416617
29,7.958437033892697,8.299969582613018,8.11335176442417
